162	110
157	330
247	280
7	153
432	330
386	440
152	461
437	119
264	55
171	439
380	412
315	331
317	85
75	118
448	469
403	102
139	492
438	340
92	127
449	338
317	456
58	5
172	245
10	289
116	7
237	267
324	391
143	410
85	375
450	36
13	268
469	444
29	23
433	457
124	209
414	305
6	151
159	247
384	326
496	137
124	5
439	200
105	42
137	19
455	477
478	479
159	261
434	173
36	405
296	428
95	348
354	450
103	100
426	329
347	272
170	346
434	133
123	87
62	470
104	405
314	470
369	226
312	169
26	31
306	273
329	93
406	454
458	173
50	304
423	490
302	314
361	359
128	128
63	119
306	349
382	185
284	385
489	112
394	436
368	98
17	247
494	154
224	9
240	397
243	23
41	103
425	62
458	208
94	341
433	214
381	188
106	432
141	150
76	31
479	50
62	289
497	433
48	381
378	10
66	48
498	215
259	383
411	439
193	269
194	19
294	377
43	72
340	264
423	22
324	493
356	206
68	224
106	131
151	221
117	284
84	435
238	476
164	445
275	27
203	364
317	255
433	441
211	428
308	345
245	173
13	200
494	484
340	148
211	326
121	233
225	386
25	240
200	20
327	153
53	31
50	500
466	182
319	406
166	5
439	38
500	211
38	53
118	181
311	198
150	9
275	47
111	252
286	77
288	183
37	328
398	188
46	93
310	333
422	133
361	37
353	131
293	101
174	312
281	127
128	288
392	212
340	4
142	18
184	170
196	363
459	214
24	347
319	20
166	148
263	473
135	95
381	353
152	394
156	487
92	495
170	298
264	464
80	491
368	175
34	394
441	466
490	367
368	86
275	113
425	222
436	129
344	417
312	422
298	136
384	385
196	124
490	4
290	246
364	258
17	126
329	444
363	480
100	408
369	311
41	159
262	288
49	144
467	366
383	185
325	471
37	436
125	367
204	100
140	476
122	408
262	282
324	422
306	229
82	105
193	445
339	24
118	344
112	10
166	215
79	211
468	392
88	205
432	61
318	390
362	150
1	110
498	150
120	404
7	84
212	108
28	498
233	286
305	353
485	455
267	85
487	305
92	421
101	6
216	327
419	411
351	202
365	185
190	193
155	236
471	203
275	396
499	138
128	437
12	343
102	192
392	297
295	453
174	51
178	290
136	178
216	500
32	479
404	73
128	209
335	414
57	158
119	240
266	273
75	393
443	370
14	248
140	60
304	388
360	30
302	390
258	424
415	212
102	144
442	273
278	398
440	472
248	473
377	265
269	190
463	331
376	196
375	288
173	14
473	448
139	141
69	222
336	111
110	71
29	150
279	380
275	407
122	201
33	132
72	92
171	219
38	46
175	414
424	99
170	151
434	48
104	46
237	224
353	359
413	218
80	70
142	31
330	107
107	67
236	331
224	33
86	379
464	380
2	453
37	137
205	473
386	287
286	148
25	15
242	90
129	203
413	395
354	191
465	445
247	269
163	492
91	315
270	437
330	289
213	342
98	375
141	131
345	325
193	463
426	473
400	33
46	423
286	153
490	100
33	168
338	27
278	216
183	371
126	141
446	53
52	170
125	293
358	448
372	444
352	320
464	126
243	190
172	162
195	396
165	375
480	178
373	27
208	362
67	309
40	367
317	237
417	308
301	73
29	267
421	292
230	282
161	150
242	249
19	201
391	300
41	339
275	477
198	186
51	20
389	387
440	60
143	28
158	148
240	159
391	349
469	89
280	132
442	416
285	156
377	155
135	463
43	380
5	103
320	285
462	48
29	311
213	166
167	254
278	123
210	206
386	487
471	55
2	477
487	227
36	305
189	193
449	84
88	113
229	30
274	89
67	246
251	96
53	445
120	406
392	129
119	57
363	12
326	481
59	369
30	174
125	297
452	209
434	395
438	318
194	113
77	236
230	66
349	204
126	3
17	309
264	181
457	349
297	240
405	85
289	118
15	88
227	160
321	452
377	95
184	260
211	137
296	232
402	478
167	233
81	212
21	472
473	289
220	93
230	308
198	2
60	325
237	107
57	262
222	171
494	348
142	180
312	436
224	350
414	106
321	96
215	118
114	102
272	59
343	9
256	235
262	358
454	378
396	29
482	248
284	271
47	30
350	33
316	391
405	211
362	410
292	267
384	238
14	360
387	369
466	244
58	250
363	374
333	356
318	360
90	243
141	434
15	481
321	11
353	79
244	404
104	32
237	94
456	60
274	408
66	131
329	216
347	317
485	143
369	111
175	42
191	498
134	356
90	106
222	272
466	295
65	152
215	305
113	307
456	182
28	336
242	251
236	244
418	218
116	499
87	51
282	157
171	128
347	253
187	348
355	431
300	174
76	32
468	148
379	432
368	53
208	226
27	393
194	190
204	301
482	162
84	213
213	5
113	6
319	213
435	323
201	177
347	479
213	87
467	291
359	453
483	341
3	488
142	490
258	155
247	427
13	170
284	482
466	183
334	363
237	491
231	185
352	39
353	20
267	180
31	306
453	158
270	233
317	448
315	215
17	247
306	258
107	332
407	293
148	207
293	367
149	261
499	330
237	349
457	10
10	492
18	69
348	445
480	34
399	190
349	266
307	454
296	289
115	479
224	48
320	327
287	350
208	142
273	321
95	19
203	112
276	52
488	446
10	207
443	239
93	277
385	247
44	193
1	353
428	69
200	441
150	374
74	381
300	81
499	348
392	259
160	418
405	405
190	162
274	306
113	39
466	225
141	63
114	253
249	468
402	411
127	198
109	341
320	3
290	67
32	100
8	439
246	266
159	365
93	492
371	71
300	203
13	53
94	240
246	329
55	465
176	93
281	354
151	445
452	211
278	32
116	386
385	499
480	206
454	473
226	248
375	261
211	191
373	208
334	498
53	127
282	439
329	281
426	431
66	223
151	325
202	276
389	421
248	454
124	16
128	446
365	444
500	212
307	33
392	407
33	190
294	446
324	145
117	298
214	385
376	358
81	377
221	140
194	348
365	276
150	375
54	283
406	435
150	108
461	81
125	55
209	404
362	59
54	250
73	485
339	321
72	387
66	379
438	468
204	391
270	297
91	249
412	140
350	42
8	487
182	415
59	215
347	276
